"scientificName_original","site","endemic","scientificName_cleaned","genus","species","scientificName_parsed","class","order","valid_AphiaID"
"Labrisomus socorroensis","Archipiélago de Revillagigedo","TRUE","Labrisomus socorroensis","Labrisomus","socorroensis","Labrisomus socorroensis","Actinopteri","Blenniiformes",281263
"Lythrypnus insularis","Archipiélago de Revillagigedo","TRUE","Lythrypnus insularis","Lythrypnus","insularis","Lythrypnus insularis","Actinopteri","Gobiiformes",281461
"Rypticus courtenayi","Archipiélago de Revillagigedo","TRUE","Rypticus courtenayi","Rypticus","courtenayi","Rypticus courtenayi","Actinopteri","Perciformes",275960
"Serranus socorroensis","Archipiélago de Revillagigedo","TRUE","Serranus socorroensis","Serranus","socorroensis","Serranus socorroensis","Actinopteri","Perciformes",273906
"Stegastes redemptus","Archipiélago de Revillagigedo","TRUE","Stegastes redemptus","Stegastes","redemptus","Stegastes redemptus","Actinopteri","Ovalentaria incertae sedis",276681
"Axoclinus multicinctus","Archipiélago de Revillagigedo","TRUE","Axoclinus multicinctus","Axoclinus","multicinctus","Axoclinus multicinctus","Actinopteri","Blenniiformes",279848
"Enneanectes exsul","Archipiélago de Revillagigedo","TRUE","Enneanectes exsul","Enneanectes","exsul","Enneanectes exsul","Actinopteri","Blenniiformes",835051
"Zenaida graysoni","Archipiélago de Revillagigedo","TRUE","Zenaida graysoni","Zenaida","graysoni","Zenaida graysoni",,,
"Zenaida macroura","Archipiélago de Revillagigedo","TRUE","Zenaida macroura","Zenaida","macroura","Zenaida macroura","Aves","Columbiformes",1485214
"Nyctanassa violacea","Archipiélago de Revillagigedo","TRUE","Nyctanassa violacea","Nyctanassa","violacea","Nyctanassa violacea","Aves","Ciconiiformes",159121
"Columbina passerina","Archipiélago de Revillagigedo","TRUE","Columbina passerina","Columbina","passerina","Columbina passerina","Aves","Columbiformes",1484414
"Buteo jamaicensis","Archipiélago de Revillagigedo","TRUE","Buteo jamaicensis","Buteo","jamaicensis","Buteo jamaicensis","Aves","Falconiformes",159109
"Corvux corax","Archipiélago de Revillagigedo","TRUE","Corvux corax","Corvux","corax","Corvux corax","Aves","Passeriformes",159389
"Mimus graysoni","Archipiélago de Revillagigedo","TRUE","Mimus graysoni","Mimus","graysoni","Mimus graysoni",,,
"Pipilo maculatus","Archipiélago de Revillagigedo","TRUE","Pipilo maculatus","Pipilo","maculatus","Pipilo maculatus",,,
"Salpinctes obsoletus","Archipiélago de Revillagigedo","TRUE","Salpinctes obsoletus","Salpinctes","obsoletus","Salpinctes obsoletus",,,
"Setophaga pitiayumi","Archipiélago de Revillagigedo","TRUE","Setophaga pitiayumi","Setophaga","pitiayumi","Setophaga pitiayumi",,,
"Thryomanes sissonii","Archipiélago de Revillagigedo","TRUE","Thryomanes sissonii","Thryomanes","sissonii","Thryomanes sissonii",,,
"Troglodytes tanneri","Archipiélago de Revillagigedo","TRUE","Troglodytes tanneri","Troglodytes","tanneri","Troglodytes tanneri",,,
"Puffinus auricularis","Archipiélago de Revillagigedo","TRUE","Puffinus auricularis","Puffinus","auricularis","Puffinus auricularis","Aves","Procellariiformes",343985
"Aratinga holochlora","Archipiélago de Revillagigedo","TRUE","Aratinga holochlora","Aratinga","holochlora","Aratinga holochlora",,,
"Athene cunicularia","Archipiélago de Revillagigedo","TRUE","Athene cunicularia","Athene","cunicularia","Athene cunicularia","Aves","Strigiformes",422611
"Micrathene whitneyi","Archipiélago de Revillagigedo","TRUE","Micrathene whitneyi","Micrathene","whitneyi","Micrathene whitneyi",,,
"Carcharodon carcharias (VU)","Archipiélago de Revillagigedo",,"Carcharodon carcharias","Carcharodon","carcharias","Carcharodon carcharias","Elasmobranchii","Lamniformes",105838
"Carcharhinus albimarginatus (VU)","Archipiélago de Revillagigedo",,"Carcharhinus albimarginatus","Carcharhinus","albimarginatus","Carcharhinus albimarginatus","Elasmobranchii","Carcharhiniformes",217352
"Carcharhinus galapagensis (LC)","Archipiélago de Revillagigedo",,"Carcharhinus galapagensis","Carcharhinus","galapagensis","Carcharhinus galapagensis","Elasmobranchii","Carcharhiniformes",105790
"Carcharhinus leucas (NT)","Archipiélago de Revillagigedo",,"Carcharhinus leucas","Carcharhinus","leucas","Carcharhinus leucas","Elasmobranchii","Carcharhiniformes",105792
"Carcharhinus limbatus (NT)","Archipiélago de Revillagigedo",,"Carcharhinus limbatus","Carcharhinus","limbatus","Carcharhinus limbatus","Elasmobranchii","Carcharhiniformes",105793
"Galeocerdo cuvier (NT)","Archipiélago de Revillagigedo",,"Galeocerdo cuvier","Galeocerdo","cuvier","Galeocerdo cuvier","Elasmobranchii","Carcharhiniformes",105799
"Triaenodon obesus (NT)","Archipiélago de Revillagigedo",,"Triaenodon obesus","Triaenodon","obesus","Triaenodon obesus","Elasmobranchii","Carcharhiniformes",214557
"Sphyrna lewini (CR)","Archipiélago de Revillagigedo",,"Sphyrna lewini","Sphyrna","lewini","Sphyrna lewini","Elasmobranchii","Carcharhiniformes",105816
"Aetobatus narinari (NT)","Archipiélago de Revillagigedo",,"Aetobatus narinari","Aetobatus","narinari","Aetobatus narinari","Elasmobranchii","Myliobatiformes",217426
"Mobula birostris (VU)","Archipiélago de Revillagigedo",,"Mobula birostris","Mobula","birostris","Mobula birostris","Elasmobranchii","Myliobatiformes",1026118
"Mobula tarapacana (EN)","Archipiélago de Revillagigedo",,"Mobula tarapacana","Mobula","tarapacana","Mobula tarapacana","Elasmobranchii","Myliobatiformes",105859
"Anarchias galapagensis (LC)","Archipiélago de Revillagigedo",,"Anarchias galapagensis","Anarchias","galapagensis","Anarchias galapagensis","Actinopteri","Anguilliformes",271800
"Echidna nebulosa (LC)","Archipiélago de Revillagigedo",,"Echidna nebulosa","Echidna","nebulosa","Echidna nebulosa","Actinopteri","Anguilliformes",217469
"Fistularia commersonii (LC)","Archipiélago de Revillagigedo",,"Fistularia commersonii","Fistularia","commersonii","Fistularia commersonii","Actinopteri","Syngnathiformes",217966
"Cephalopholis panamensis (LC)","Archipiélago de Revillagigedo",,"Cephalopholis panamensis","Cephalopholis","panamensis","Cephalopholis panamensis","Actinopteri","Perciformes",279152
"Dermatolepis dermatolepis (LC)","Archipiélago de Revillagigedo",,"Dermatolepis dermatolepis","Dermatolepis","dermatolepis","Dermatolepis dermatolepis","Actinopteri","Perciformes",276919
"Epinephelus clippertonensis (LC)","Archipiélago de Revillagigedo",,"Epinephelus clippertonensis","Epinephelus","clippertonensis","Epinephelus clippertonensis","Actinopteri","Perciformes",273843
"Mycteroperca jordani (EN)","Archipiélago de Revillagigedo",,"Mycteroperca jordani","Mycteroperca","jordani","Mycteroperca jordani","Actinopteri","Perciformes",273879
"Opistognathus punctatus (VU)","Archipiélago de Revillagigedo",,"Opistognathus punctatus","Opistognathus","punctatus","Opistognathus punctatus","Actinopteri","Ovalentaria incertae sedis",276471
"Seriola lalandi (LC)","Archipiélago de Revillagigedo",,"Seriola lalandi","Seriola","lalandi","Seriola lalandi","Actinopteri","Carangiformes",218436
"Lutjanus peru (LC)","Archipiélago de Revillagigedo",,"Lutjanus peru","Lutjanus","peru","Lutjanus peru","Actinopteri","Eupercaria incertae sedis",276546
"Chaetodon humeralis (LC)","Archipiélago de Revillagigedo",,"Chaetodon humeralis","Chaetodon","humeralis","Chaetodon humeralis","Actinopteri","Acanthuriformes",273343
"Forcipiger flavissimus (LC)","Archipiélago de Revillagigedo",,"Forcipiger flavissimus","Forcipiger","flavissimus","Forcipiger flavissimus","Actinopteri","Acanthuriformes",218760
"Johnrandallia nigrirostris (LC)","Archipiélago de Revillagigedo",,"Johnrandallia nigrirostris","Johnrandallia","nigrirostris","Johnrandallia nigrirostris","Actinopteri","Acanthuriformes",281202
"Stenella longirostris (LC)","Archipiélago de Revillagigedo",,"Stenella longirostris","Stenella","longirostris","Stenella longirostris","Mammalia","Cetartiodactyla",137109
"Stenella longirostris orientalis (VU)","Archipiélago de Revillagigedo",,"Stenella longirostris orientalis","Stenella","longirostris","Stenella longirostris","Mammalia","Cetartiodactyla",137109
"Steno bredanensis (LC)","Archipiélago de Revillagigedo",,"Steno bredanensis","Steno","bredanensis","Steno bredanensis","Mammalia","Cetartiodactyla",137110
"Tursiops truncatus (LC)","Archipiélago de Revillagigedo",,"Tursiops truncatus","Tursiops","truncatus","Tursiops truncatus","Mammalia","Cetartiodactyla",137111
"Balaenoptera acutorostrata (LC)","Archipiélago de Revillagigedo",,"Balaenoptera acutorostrata","Balaenoptera","acutorostrata","Balaenoptera acutorostrata","Mammalia","Cetartiodactyla",137087
"Balaenoptera edeni (LC)","Archipiélago de Revillagigedo",,"Balaenoptera edeni","Balaenoptera","edeni","Balaenoptera edeni","Mammalia","Cetartiodactyla",137089
"Balaenoptera musculus (EN)","Archipiélago de Revillagigedo",,"Balaenoptera musculus","Balaenoptera","musculus","Balaenoptera musculus","Mammalia","Cetartiodactyla",137090
"Megaptera novaeangliae (LC)","Archipiélago de Revillagigedo",,"Megaptera novaeangliae","Megaptera","novaeangliae","Megaptera novaeangliae","Mammalia","Cetartiodactyla",137092
"Kogia sima (DD)","Archipiélago de Revillagigedo",,"Kogia sima","Kogia","sima","Kogia sima","Mammalia","Cetartiodactyla",159025
"Physeter macrocephalus (VU)","Archipiélago de Revillagigedo",,"Physeter macrocephalus","Physeter","macrocephalus","Physeter macrocephalus","Mammalia","Cetartiodactyla",137119
"Mesoplodon ginkgodens (DD)","Archipiélago de Revillagigedo",,"Mesoplodon ginkgodens","Mesoplodon","ginkgodens","Mesoplodon ginkgodens","Mammalia","Cetartiodactyla",231407
