Rhinella marina
Celleporella hyalina
Chaperiopsis condylata
Chaperiopsis (Clipeochaperia) frontalis
Chorizopora brongniartii
Cigclisula porosa
Cigclisula turrita
Cleidochasma affinis
Copidozoum planum
Copidozoum tenuirostre
Crepidacantha poissonii
Crepidacantha setigera
Crisia maxima
Crisia occidentalis
Crisia serrulata
Crisulipora occidentalis
Cupuladria canariensis
Cyclicopora longipora
Diaperoecia flabellata
Diplonotos costulatus
Discoporella umbellata
Disporella astraea
Disporella octoradiata
Disporella ovoidea
Entalophora symmetrica
Fenestrulina malusii
Hippaliosina rostrigera
Hippomonavella parvicapitata
Hippopleurifera mucronata
Hippopodinella adpressa
Hippoporella rimata
Hippoporidra granulosa
Hippoporidra spiculifera
Hippoporina ampla
Hippoporina pertusa
Hippothoa divaricata
Hippothoa flagellum
Jellyella tuberculata
Lagenicella hippocrepis
Lagenicella lacunosa
Lagenicella marginata
Lagenicella punctulata
Lagenicella spinulosa
Lichenopora intricata
Mamillopora cupula
Micropora coriacea inarmata
Micropora coriacea
Microporella californica
Microporella ciliata
Microporella gibbosula
Microporella marsupiata
Microporella pontifica
Microporella tractabilis
Microporelloides galapagensis
Parasmittina aff. hastingsae
Parasmittina californica
Parasmittina crosslandi
Parasmittina dolabrata
Parasmittina fraseri
Parellisina curvirostris
Phidolopora pacifica
Phylactella aperta
Plagioecia lactea
Plagioecia meandrina
Plagioecia patina
Plagioecia sarniensis
Plagioecia striatula
Plagioecia subpapyracea
Plagioecia tubiabortiva
Platonea expansa
Platonea veleronis
Porella columbiana
Porella patens
Proboscina lamellifera
Puellina setosa
Reptadeonella tubulifera
Reptadeonella violacea
Reteporellina denticulata gracilis
Retevirgula areolata
Retevirgula lata
Retevirgula tubulata
Rhynchozoon rostratum
Robertsonidra oligopus
Savignyella lafontii
Schizmopora anatina
Schizoporella unicornis
Schizotheca umbonata
Scruparia ambigua
Scrupocellaria harmeri
Scrupocellaria scruposa
Semihaswellia sulcosa
Sessibugula translucens
Smittina landsborovii
Smittina smittiella
Smittipora americana
Smittoidea pacifica
Stylopoma informata
Stylopoma spongites
Tetraplaria veleroae
Thalamoporella californica
Trypostega venusta
Tubulipora liliacea
Tubulipora pulchra
Watersipora arcuata
Watersipora cucullata
Aidanosagitta regularis
Ferosagitta robusta
